,en,de
thry:github,https://github.com/Thryrallo/UdonPrefabs,
thry:github_prefabs,https://github.com/Thryrallo/UdonPrefabs,
thry:discord,https://thry.dev/d,
,,
mirror:header,Mirror,Spiegel
mirror:high,High,Am Besten
mirror:low,Low,Mittel
mirror:very_low,Very Low,Niedrig
mirror:transparency,Transparency,Transparenz
mirror:cutout,Enable Cutout,Ausschnitt
